<persName ref=""people.xml#bea01"">Beaumarchais</persName>	letter-03583	
<persName ref=""people.xml#bea01"">Beaumarchais</persName>	letter-03653	
<persName ref=""people.xml#bea01"">Figaro</persName>	letter-03602	
<persName ref=""people.xml#bea01"">Figaro</persName>	letter-03625	
<persName ref=""people.xml#bea01"">Бомарше</persName>	letter-00075	
<persName ref=""people.xml#bea02"">Mme. Beaulieu</persName>	letter-03621	
<persName ref=""people.xml#bel01"">Белича</persName>	letter-02853	
<persName ref=""people.xml#bel01"">Беличь</persName>	letter-02853	
<persName ref=""people.xml#bel01"">Ефим Беличь</persName>	letter-02853	
<persName ref=""people.xml#bel01"">prince Bélosselski</persName>	letter-00004	
<persName ref=""people.xml#bel01"">prince Bélosselski</persName>	letter-02993	
<persName ref=""people.xml#bel01"">prince Bélosselski</persName>	letter-02994	
<persName ref=""people.xml#bel03"">Jupiter-Belus</persName>	letter-03618	
<persName ref=""people.xml#bel04"">Belsunce</persName>	letter-03677	
<persName ref=""people.xml#bel04"">Belsunce</persName>	letter-03679	
<persName ref=""people.xml#bel04"">M. de Belsunce</persName>	letter-03676	
<persName ref=""people.xml#bel04"">de Belsunce</persName>	letter-03665	
<persName ref=""people.xml#ben02"">Jean Benislawski</persName>	letter-02955	
<persName ref=""people.xml#ber01"">Bering</persName>	letter-00059	
<persName ref=""people.xml#ber02"">Bering</persName>	letter-00059	
<persName ref=""people.xml#ber03"">cardinal de Bernis</persName>	letter-02990	
<persName ref=""people.xml#ber03"">cardinal de Bernis</persName>	letter-03558	
<persName ref=""people.xml#ber04"">Bertin</persName>	letter-03010	
<persName ref=""people.xml#ber04"">demoiselle Bertin</persName>	letter-03016	
<persName ref=""people.xml#ber05"">Bertin</persName>	letter-03010	
<persName ref=""people.xml#ber05"">Bertin</persName>	letter-03575	
<persName ref=""people.xml#ber05"">Bertin</persName>	letter-03622	
<persName ref=""people.xml#ber05"">Bertin</persName>	letter-03634	
<persName ref=""people.xml#ber05"">Bertin</persName>	letter-03672	
<persName ref=""people.xml#ber05"">Bertin</persName>	letter-03712	
<persName ref=""people.xml#ber05"">Sr Bertin</persName>	letter-03610	
<persName ref=""people.xml#ber05"">Sr Bertin</persName>	letter-03613	
<persName ref=""people.xml#ber05"">Monsieur Bertin</persName>	letter-03016	
<persName ref=""people.xml#ber06"">Berg</persName>	letter-02743	
<persName ref=""people.xml#ber07"">Gros Réné</persName>	letter-03669	
<persName ref=""people.xml#ber07"">Gros Réné</persName>	letter-03670	
<persName ref=""people.xml#ber08"">Bertuch</persName>	letter-03690	
<persName ref=""people.xml#bes01"">Bestoujef</persName>	letter-03662	
<persName ref=""people.xml#bet01"">Betski</persName>	letter-02937	
<persName ref=""people.xml#bet01"">Betski</persName>	letter-03577	
<persName ref=""people.xml#bet01"">Betski</persName>	letter-03635	
<persName ref=""people.xml#bet01"">Betski</persName>	letter-03714	
<persName ref=""people.xml#bet01"">Betsky</persName>	letter-02937	
<persName ref=""people.xml#bet01"">Betzki</persName>	letter-02947	
<persName ref=""people.xml#bet01"">Betzki</persName>	letter-04740	
<persName ref=""people.xml#bet01"">Betzki</persName>	letter-04747	
<persName ref=""people.xml#bet01"">Betzki</persName>	letter-04758	
<persName ref=""people.xml#bet01"">Betzki</persName>	letter-04769	
<persName ref=""people.xml#bet01"">Betzki</persName>	letter-04775	
<persName ref=""people.xml#bet01"">Betzki</persName>	letter-04777	
<persName ref=""people.xml#bet01"">Betzki</persName>	letter-04778	
<persName ref=""people.xml#bet01"">Betzki</persName>	letter-04798	
<persName ref=""people.xml#bet01"">Betzky</persName>	letter-04737	
<persName ref=""people.xml#bet01"">M. Betski</persName>	letter-03562	
<persName ref=""people.xml#bet01"">M. Betski</persName>	letter-03591	
<persName ref=""people.xml#bet01"">M. Betski</persName>	letter-03635	
<persName ref=""people.xml#bet01"">M. Betski</persName>	letter-03645	
<persName ref=""people.xml#bet01"">M. de Betski</persName>	letter-03573	
<persName ref=""people.xml#bet01"">Betzki</persName>	letter-04772	
<persName ref=""people.xml#beu01"">Emilie</persName>	letter-03608	
<persName ref=""people.xml#bez01"">Bezborodka</persName>	letter-03559	
<persName ref=""people.xml#bez01"">Bezborodka</persName>	letter-03561	
<persName ref=""people.xml#bez01"">Bezborodka</persName>	letter-03562	
<persName ref=""people.xml#bez01"">Bezborodka</persName>	letter-03573	
<persName ref=""people.xml#bez01"">Bezborodka</persName>	letter-03580	
<persName ref=""people.xml#bez01"">Bezborodka</persName>	letter-03582	
<persName ref=""people.xml#bez01"">Bezborodka</persName>	letter-03587	
<persName ref=""people.xml#bez01"">Bezborodka</persName>	letter-03622	
<persName ref=""people.xml#bez01"">M. Bezborodka</persName>	letter-03580	
<persName ref=""people.xml#bez01"">factotum</persName>	letter-03627	
<persName ref=""people.xml#bez01"">Гр[афу] Безбор[одко]</persName>	letter-00085	
<persName ref=""people.xml#bib01"">Bibikof</persName>	letter-03654	
<persName ref=""people.xml#bib01"">M. Bibikof</persName>	letter-03563	
<persName ref=""people.xml#bib01"">M. Bibikof</persName>	letter-00004	
<persName ref=""people.xml#bib01"">M. Bibikof</persName>	letter-03601	
<persName ref=""people.xml#bib01"">général Bibikof</persName>	letter-00003	
<persName ref=""people.xml#bib01"">général Bibikof</persName>	letter-00040	
<persName ref=""people.xml#bib01"">Бибиков</persName>	letter-01230	
<persName ref=""people.xml#bib01"">генералу Бибикову</persName>	letter-00041	
<persName ref=""people.xml#bib02"">Bibikoff</persName>	letter-02929	
<persName ref=""people.xml#bib03"">Bibiena</persName>	letter-02996	
<persName ref=""people.xml#bib04"">Bibiena</persName>	letter-03023	
<persName ref=""people.xml#bib05"">Bibiena</persName>	letter-03009	
<persName ref=""people.xml#bil01"">sir Billings</persName>	letter-03625	
<persName ref=""people.xml#bir01"">maréchal Biron</persName>	letter-03623	
<persName ref=""people.xml#bir02"">duc de Courlande</persName>	letter-02648	
<persName ref=""people.xml#bir03"">Biron</persName>	letter-03595	
<persName ref=""people.xml#bla02"">maître Blaise</persName>	letter-03569	
<persName ref=""people.xml#bla03"">M. Blandow</persName>	letter-03594	
<persName ref=""people.xml#bob01"">Bobrinski</persName>	letter-03621	
<persName ref=""people.xml#bob01"">Bobrinski</persName>	letter-03644	
<persName ref=""people.xml#bob01"">Bo[brinski]</persName>	letter-00668	
<persName ref=""people.xml#boc01"">Bock</persName>	letter-03582	
<persName ref=""people.xml#boe01"">Boehmer</persName>	letter-03627	
<persName ref=""people.xml#boi01"">Boileau</persName>	letter-00090	
<persName ref=""people.xml#boi02"">Damas</persName>	letter-03725	
<persName ref=""people.xml#boi03"">Boisgelin</persName>	letter-03728	
<persName ref=""people.xml#bol02"">Boltine</persName>	letter-03708	
<persName ref=""people.xml#bol02"">Boltine</persName>	letter-03711	
<persName ref=""people.xml#bom01"">Bombelles</persName>	letter-03671	
<persName ref=""people.xml#bom01"">Bombelles</persName>	letter-03678	
<persName ref=""people.xml#bom01"">Bombelles</persName>	letter-03679	
<persName ref=""people.xml#bom01"">Bombelles</persName>	letter-03728	
<persName ref=""people.xml#bom01"">Bombelles</persName>	letter-03733	
<persName ref=""people.xml#bom01"">marquis de Bombelles</persName>	letter-03678	
<persName ref=""people.xml#bon02"">Bonnet</persName>	letter-03622	
<persName ref=""people.xml#bor01"">Bork</persName>	letter-03689	
<persName ref=""people.xml#bor02"">Borissof</persName>	letter-03588	
<persName ref=""people.xml#bor05"">M. de La Borde</persName>	letter-03721	
<persName ref=""people.xml#bos01"">Боссетовой</persName>	letter-01155	
<persName ref=""people.xml#bou03"">Boutourl</persName>	letter-02945	
<persName ref=""people.xml#bou03"">Boutourlin</persName>	letter-02945	
<persName ref=""people.xml#bou04"">Chev: de Boufleurs</persName>	letter-02751	
<persName ref=""people.xml#bou04"">ch. de Boufflers</persName>	letter-03715	
<persName ref=""people.xml#bou05"">Bouilly</persName>	letter-03673	
<persName ref=""people.xml#bou05"">Bouillé</persName>	letter-03671	
<persName ref=""people.xml#bou05"">Bouillé</persName>	letter-03672	
<persName ref=""people.xml#bou5"">M. Bouillé</persName>	letter-03669	
<persName ref=""people.xml#boy01"">marquis d’Argens</persName>	letter-03555	
<persName ref=""people.xml#boy02"">Boydell</persName>	letter-03715	
<persName ref=""people.xml#bra01"">Branitzki</persName>	letter-00030	
<persName ref=""people.xml#bra01"">C-te Branitski</persName>	letter-00031	
<persName ref=""people.xml#bra01"">Cte: Branitzky</persName>	letter-00031	
<persName ref=""people.xml#bra01"">comte Branitzki</persName>	letter-00008	
<persName ref=""people.xml#bra02"">Александры Васильевны </persName>	letter-00850	
<persName ref=""people.xml#bra04"">Брага</persName>	letter-00852	
<persName ref=""people.xml#bra05"">duc de Bragance</persName>	letter-02987	
<persName ref=""people.xml#bra05"">duc de Bragance</persName>	letter-03002	
<persName ref=""people.xml#bra05"">duc de Bragance</persName>	letter-03003	
<persName ref=""people.xml#bra06"">Brazinsky</persName>	letter-03636	
<persName ref=""people.xml#bra08"">Brancamp</persName>	letter-02761	
<persName ref=""people.xml#bre01"">Breteuil</persName>	letter-02990	
<persName ref=""people.xml#bre01"">Breteuil</persName>	letter-02995	
<persName ref=""people.xml#bre01"">M. de Breteuil</persName>	letter-02997	
<persName ref=""people.xml#bre01"">marquis de Breme</persName>	letter-03669	
<persName ref=""people.xml#bre02"">Breteuil</persName>	letter-03674	
<persName ref=""people.xml#bre02"">Breteuil</persName>	letter-03678	
<persName ref=""people.xml#bre02"">Breteuil</persName>	letter-03679	
<persName ref=""people.xml#bre02"">Breteuil</persName>	letter-03691	
<persName ref=""people.xml#bre02"">M-r de Breteuil</persName>	letter-02936	
<persName ref=""people.xml#bre02"">baron de Breteuil</persName>	letter-03627	
<persName ref=""people.xml#bre02"">Breteuil</persName>	letter-03672	
<persName ref=""people.xml#bre03"">Breteuil</persName>	letter-03577	
<persName ref=""people.xml#bre03"">Breteuil</persName>	letter-03594	
<persName ref=""people.xml#bre03"">Breteuil</persName>	letter-03595	
<persName ref=""people.xml#bre03"">Breteuil</persName>	letter-03624	
<persName ref=""people.xml#bre03"">Breteuil</persName>	letter-03625	
<persName ref=""people.xml#bre03"">Breteuil</persName>	letter-03587	
<persName ref=""people.xml#bri01"">Briséis</persName>	letter-03561	
<persName ref=""people.xml#bri02"">Brisson</persName>	letter-02770	
<persName ref=""people.xml#bro01"">Braun</persName>	letter-02721	
<persName ref=""people.xml#bro01"">Броуну</persName>	letter-00535	
<persName ref=""people.xml#bro03"">Brozine</persName>	letter-03587	
<persName ref=""people.xml#bro04"">Bromptonienne</persName>	letter-03596	
<persName ref=""people.xml#bru02"">Bruce</persName>	letter-02940	
<persName ref=""people.xml#bru02"">comte Bruce</persName>	letter-03624	
<persName ref=""people.xml#bru02"">comte de Bruce</persName>	letter-03592	
<persName ref=""people.xml#bru02"">le comte Bruce</persName>	letter-03600	
<persName ref=""people.xml#bru04"">comtesse Bruce</persName>	letter-03620	
<persName ref=""people.xml#bru04"">la comtesse Bruce</persName>	letter-03621	
<persName ref=""people.xml#bru04"">Брюсша</persName>	letter-00009	
